delta_case,ssp,ensemble,enso_change,tele_change
0.162283068,245,MIROC.ES2L_r10i1p1f2,0.1291318,0.151803876
0.162090292,126,MIROC6_r35i1p1f1,0.1646649,0.095575205
0.159618462,245,MPI.ESM1.2.LR_r7i1p1f1,-0.0328265,0.218362002
0.154533566,126,MIROC6_r21i1p1f1,0.07454069,0.105973004
0.152282369,126,MIROC6_r22i1p1f1,0.1504973,0.066288014
0.151461573,245,MIROC6_r23i1p1f1,0.07544808,0.108249024
0.151114775,585,MIROC6_r50i1p1f1,0.1594367,0.071590832
0.150781678,585,MIROC6_r29i1p1f1,0.1351824,0.050028294
0.150191955,245,MIROC6_r34i1p1f1,0.09789123,0.088072957
0.145288359,126,HadGEM3.GC31.LL_r1i1p1f3,-0.0532143,0.271727332
0.141236626,370,MIROC6_r15i1p1f1,0.09780168,0.104345186
0.138434171,585,MIROC6_r15i1p1f1,0.1058379,0.091933084
0.135416685,245,MPI.ESM1.2.LR_r24i1p1f1,0.0867017,0.077715104
0.134190616,245,MIROC6_r29i1p1f1,0.06189453,0.090290768
0.133797792,370,MPI.ESM1.2.HR_r9i1p1f1,-0.0513722,0.143666688
0.133651868,585,MIROC6_r40i1p1f1,0.00692323,0.157543167
0.132707081,370,MIROC6_r26i1p1f1,0.1329231,0.010917232
0.130099091,126,MIROC6_r1i1p1f1,0.07882265,0.130495332
0.130000531,245,MIROC.ES2L_r2i1p1f2,0.08610514,0.106175639
0.126759267,370,MPI.ESM1.2.LR_r25i1p1f1,0.07895276,0.139561694
0.126702489,370,MIROC6_r11i1p1f1,0.08139456,0.085040976
0.12642012,245,GFDL.ESM4_r1i1p1f1,0.1353297,0.044880811
0.126013459,370,MIROC6_r3i1p1f1,0.1422308,0.012730106
0.125835243,370,MIROC6_r19i1p1f1,0.09019505,0.120589369
0.122165253,585,CMCC.CM2.SR5_r1i1p1f1,0.03407859,0.193083126
0.120032638,245,MPI.ESM1.2.LR_r26i1p1f1,0.02834514,0.197166909
0.119734063,370,CAMS.CSM1.0_r1i1p1f1,0.06892814,0.1143521
0.118126878,245,MIROC6_r42i1p1f1,0.115521,0.082780911
0.117737082,245,MPI.ESM1.2.LR_r19i1p1f1,-0.0752238,0.258283785
0.115809116,370,MPI.ESM1.2.HR_r5i1p1f1,-0.0592917,0.104663275
0.115202621,245,MIROC6_r11i1p1f1,0.04271638,0.127694313
0.114771856,370,MIROC6_r48i1p1f1,0.1193274,0.062655891
0.11061247,126,MIROC6_r8i1p1f1,0.07609584,0.03664362
0.108563941,245,MIROC6_r12i1p1f1,0.08675531,0.045400151
0.105985799,370,MIROC6_r12i1p1f1,0.07788024,0.080700461
0.104446369,585,MIROC6_r35i1p1f1,0.05027743,0.069534221
0.103522986,370,MPI.ESM1.2.LR_r11i1p1f1,0.08141134,0.128282199
0.102098363,370,MPI.ESM1.2.LR_r18i1p1f1,-0.01834,0.164334351
0.101482812,245,MPI.ESM1.2.LR_r4i1p1f1,0.0135283,0.096073267
0.10042596,126,MIROC6_r42i1p1f1,0.1152058,0.046077565
0.094617707,126,CMCC.CM2.SR5_r1i1p1f1,0.01844837,0.16675785
0.086367721,370,MPI.ESM1.2.LR_r1i1p1f1,0.07821805,0.015758954
0.085289327,370,MPI.ESM1.2.HR_r7i1p1f1,-0.0866018,0.182076234
0.083081085,245,MPI.ESM1.2.LR_r18i1p1f1,-0.0261009,0.140577402
0.079972212,370,MPI.ESM1.2.LR_r26i1p1f1,-0.061167,0.137677359
0.078042099,370,MRI.ESM2.0_r1i1p1f1,-0.0234774,0.109427237
0.076950164,126,MIROC6_r10i1p1f1,0.06594128,0.035101742
0.075778893,370,MPI.ESM1.2.LR_r7i1p1f1,-0.155004,0.252002892
0.074610144,585,MIROC6_r43i1p1f1,0.0741371,0.052589489
0.074287234,370,MIROC6_r36i1p1f1,0.05492568,0.082424918
0.073145536,126,FGOALS.g3_r1i1p1f1,0.03790386,0.066789066
0.071918515,370,MPI.ESM1.2.LR_r12i1p1f1,0.1032403,0.034464952
0.070927819,126,MIROC6_r26i1p1f1,0.04811644,-0.006999226
0.070124644,245,MIROC6_r15i1p1f1,0.08196697,0.010787183
0.069013027,370,MPI.ESM1.2.HR_r4i1p1f1,-0.099372,0.136029352
0.067019715,370,MPI.ESM1.2.LR_r8i1p1f1,-0.0465209,0.09699926
0.066536466,245,MPI.ESM1.2.LR_r2i1p1f1,-0.0213228,0.074289292
0.063213127,126,MIROC6_r6i1p1f1,0.08415285,0.03531636
0.06127092,245,MIROC6_r36i1p1f1,0.04142326,0.053827557
0.053163658,126,MIROC6_r29i1p1f1,0.05584278,0.019933183
0.052402265,370,MIROC.ES2L_r2i1p1f2,0.00712013,0.10224185
0.049464336,370,MPI.ESM1.2.LR_r17i1p1f1,-0.119291,0.152675412
0.049192517,126,MIROC6_r23i1p1f1,-0.0216944,0.112952022
0.047262755,245,MIROC6_r1i1p1f1,0.048612,0.138032966
0.046218742,370,MPI.ESM1.2.LR_r28i1p1f1,-0.0501722,0.141434893
0.043081182,245,MPI.ESM1.2.LR_r14i1p1f1,-0.0230756,0.054765031
0.040738979,245,MPI.ESM1.2.LR_r27i1p1f1,-0.0143363,0.077554618
0.03773823,370,MIROC6_r37i1p1f1,0.02024783,0.046402232
0.03529205,245,MIROC6_r28i1p1f1,0.06982286,0.030475275
0.034293996,126,KIOST.ESM_r1i1p1f1,-0.0169494,0.120959487
0.034270006,126,MIROC6_r34i1p1f1,0.0408579,-0.018368515
0.031992751,370,MPI.ESM1.2.HR_r1i1p1f1,-0.0622829,0.042609026
0.028653849,370,MRI.ESM2.0_r4i1p1f1,-0.0874626,0.131483405
0.027446758,245,MPI.ESM1.2.LR_r16i1p1f1,-0.0232526,0.030231653
0.027412577,126,MIROC6_r11i1p1f1,0.05063434,-0.019177541
0.027405904,585,CNRM.CM6.1_r1i1p1f2,-0.0794596,0.12846744
0.021389786,370,MIROC6_r20i1p1f1,0.05379152,0.058734082
0.021345409,245,MPI.ESM1.2.LR_r11i1p1f1,0.08442734,-0.006991486
0.020840618,245,MPI.ESM1.2.HR_r1i1p1f1,0.00972453,-0.044206055
0.02043794,370,INM.CM5.0_r1i1p1f1,-0.266716,0.406270823
0.019455193,126,MIROC6_r48i1p1f1,0.07801009,0.017856892
0.018925546,585,INM.CM5.0_r1i1p1f1,-0.158773,0.225455371
0.017155235,126,MIROC6_r36i1p1f1,-0.0242679,0.026879932
0.010454572,370,FGOALS.g3_r1i1p1f1,-0.129364,0.162480503
0.007279472,245,UKESM1.0.LL_r1i1p1f2,-0.166943,0.173557048
0.006902209,245,MIROC6_r26i1p1f1,0.03510486,-0.016487776
0.005019024,370,MPI.ESM1.2.LR_r4i1p1f1,-0.165554,0.136621762
0.004354512,126,INM.CM5.0_r1i1p1f1,-0.105815,0.074903949
0.002245423,585,MRI.ESM2.0_r1i1p1f1,-0.0903667,0.058324269
0.00108085,126,MIROC6_r3i1p1f1,-0.0447862,0.021775047
-0.002275608,585,NESM3_r1i1p1f1,-0.202963,0.212383066
-0.005734137,245,MPI.ESM1.2.LR_r15i1p1f1,-0.0728829,0.001550992
-0.005867731,126,MIROC6_r50i1p1f1,0.08568638,0.002151301
-0.006614494,585,MIROC6_r36i1p1f1,-0.0595446,0.075563688
-0.012782239,370,CNRM.CM6.1_r1i1p1f2,-0.0501399,0.088862191
-0.013953258,245,MPI.ESM1.2.LR_r9i1p1f1,-0.112364,0.078740114
-0.015278698,126,MPI.ESM1.2.HR_r1i1p1f1,-0.0543142,-0.003324329
-0.022495035,585,MIROC6_r28i1p1f1,-0.055271,0.021718905
-0.023845241,126,CNRM.CM6.1_r1i1p1f2,-0.0764226,0.006113275
-0.024018365,126,NESM3_r1i1p1f1,-0.10164,0.093650458
-0.024087697,370,MRI.ESM2.0_r5i1p1f1,-0.124697,0.112178951
-0.024260345,585,MPI.ESM1.2.LR_r1i1p1f1,0.04436718,-0.046062727
-0.026626258,245,MRI.ESM2.0_r1i1p1f1,-0.166713,0.116483194
-0.029779081,585,INM.CM4.8_r1i1p1f1,-0.209296,0.090360474
-0.032216621,245,MPI.ESM1.2.LR_r23i1p1f1,-0.10431,0.012942829
-0.035789225,245,FGOALS.g3_r1i1p1f1,-0.076978,0.060726526
-0.050782428,370,MPI.ESM1.2.LR_r5i1p1f1,-0.0849901,-0.064868744
-0.051501369,126,MIROC6_r18i1p1f1,-0.0939758,0.003939933
-0.052942665,245,NESM3_r1i1p1f1,-0.14543,0.114932861
-0.053739287,245,IPSL.CM6A.LR_r1i1p1f1,-0.086602,-0.008238524
-0.05604237,126,MIROC6_r12i1p1f1,-0.0773663,-0.017415407
-0.059959898,370,IPSL.CM5A2.INCA_r1i1p1f1,-0.219524,0.216336112
-0.064924807,245,CNRM.CM6.1_r1i1p1f2,-0.171177,0.056335458
-0.066132549,126,GFDL.ESM4_r1i1p1f1,-0.0466749,0.019799359
-0.066826865,126,IPSL.CM6A.LR_r1i1p1f1,-0.122671,0.018918359
-0.072056041,126,HadGEM3.GC31.MM_r1i1p1f3,-0.166447,0.100575989
-0.073049674,370,MPI.ESM1.2.LR_r16i1p1f1,-0.22276,0.118995495
-0.077713877,126,MPI.ESM1.2.LR_r1i1p1f1,0.04197958,-0.099814617
-0.081470057,245,MPI.ESM1.2.LR_r1i1p1f1,-0.043154,-0.077047639
-0.08314993,126,MIROC6_r37i1p1f1,-0.0832301,-0.033675352
-0.084969261,245,MPI.ESM1.2.LR_r22i1p1f1,-0.110018,-0.054853685
-0.086139937,245,MPI.ESM1.2.LR_r8i1p1f1,-0.126913,-0.057692897
-0.088749956,370,GISS.E2.1.G_r1i1p1f2,0.0411916,-0.121237322
-0.089339721,585,KIOST.ESM_r1i1p1f1,-0.160573,0.060775457
-0.091426426,126,MIROC6_r20i1p1f1,-0.0529819,-0.074361179
-0.091741363,370,MPI.ESM1.2.LR_r21i1p1f1,-0.137475,0.009748587
-0.092011851,245,INM.CM4.8_r1i1p1f1,-0.174413,0.063591126
-0.093579277,126,MIROC6_r15i1p1f1,-0.0502075,-0.067315442
-0.098158009,370,INM.CM4.8_r1i1p1f1,-0.151011,-0.033740605
-0.100158413,370,MPI.ESM1.2.LR_r9i1p1f1,-0.209213,0.030076021
-0.103615087,245,INM.CM5.0_r1i1p1f1,-0.256977,0.105802258
-0.10406495,245,MPI.ESM1.2.LR_r25i1p1f1,-0.109312,-0.052120692
-0.115703366,370,MPI.ESM1.2.LR_r23i1p1f1,-0.224871,0.035457307
-0.118100919,245,MIROC6_r37i1p1f1,-0.123654,-0.058459184
-0.126123425,126,MRI.ESM2.0_r1i1p1f1,-0.162216,-0.080588291
-0.128386039,126,MIROC6_r9i1p1f1,-0.128433,-0.050044592
-0.132905404,245,MPI.ESM1.2.LR_r5i1p1f1,-0.17212,-0.087525899
-0.134095706,126,IPSL.CM5A2.INCA_r1i1p1f1,-0.26368,0.099053744
-0.135501322,126,MIROC6_r28i1p1f1,-0.181239,-0.034051013
-0.139928988,370,MPI.ESM1.2.LR_r22i1p1f1,-0.168826,-0.038548041
-0.168855223,370,MPI.ESM1.2.LR_r29i1p1f1,-0.245908,-0.095181188
-0.175642873,126,MIROC6_r16i1p1f1,-0.248363,-0.058680684
-0.179330929,370,MPI.ESM1.2.HR_r10i1p1f1,-0.173173,-0.164558194
-0.182787329,245,MPI.ESM1.2.LR_r21i1p1f1,-0.17236,-0.077762944
-0.19801033,245,MPI.ESM1.2.LR_r10i1p1f1,-0.201115,-0.164092585
